id,code,number,name,parent_id/id,type,active
account_sat.account_sat_046,13.1,112-100-001,Inventarios,account_sat.account_sat_045,other,True
account_sat.account_sat_047,14,113-000-000,Obras en proceso,account_sat.account_sat_003,view,True
account_sat.account_sat_048,14.1,113-100-001,Obras en proceso,account_sat.account_sat_047,other,True
account_sat.account_sat_049,15,114-000-000,Impuestos acreditables pagados,account_sat.account_sat_003,view,True
account_sat.account_sat_050,15.1,114-100-001,IVA acreditable pagado,account_sat.account_sat_049,other,True
account_sat.account_sat_051,15.2,114-100-002,IVA acreditable de importación pagado,account_sat.account_sat_049,other,True
account_sat.account_sat_052,15.3,114-100-003,IEPS acreditable pagado,account_sat.account_sat_049,other,True
account_sat.account_sat_053,15.4,114-100-004,IEPS pagado en importación,account_sat.account_sat_049,other,True
account_sat.account_sat_054,16,115-000-000,Impuestos acreditables por pagar,account_sat.account_sat_003,view,True
account_sat.account_sat_055,16.1,115-100-001,IVA pendiente de pago,account_sat.account_sat_054,other,True
account_sat.account_sat_056,16.2,115-100-002,IVA de importación pendiente de pago,account_sat.account_sat_054,other,True
account_sat.account_sat_057,16.3,115-100-003,IEPS pendiente de pago,account_sat.account_sat_054,other,True
account_sat.account_sat_058,16.4,115-100-004,IEPS pendiente de pago en importación,account_sat.account_sat_054,other,True
account_sat.account_sat_059,17,116-000-000,Anticipo a proveedores,account_sat.account_sat_003,view,True
account_sat.account_sat_060,17.1,116-100-001,Anticipo a proveedores,account_sat.account_sat_059,other,True
account_sat.account_sat_061,18,117-000-000,Otros Activos Circulantes,account_sat.account_sat_003,view,True
account_sat.account_sat_062,18.1,117-100-001,Otros Activos Circulantes,account_sat.account_sat_061,other,True
account_sat.account_sat_063,,118-000-100,Activos no circulantes,account_sat.account_sat_002,view,True
account_sat.account_sat_064,19,118-000-000,Terrenos,account_sat.account_sat_063,view,True
account_sat.account_sat_065,19.1,118-100-001,Terrenos,account_sat.account_sat_064,other,True
account_sat.account_sat_066,20,119-000-000,Edificios,account_sat.account_sat_063,view,True
account_sat.account_sat_067,20.1,119-100-001,Edificios,account_sat.account_sat_066,other,True
account_sat.account_sat_068,21,120-000-000,Maquinaria y equipo,account_sat.account_sat_063,view,True
account_sat.account_sat_069,21.1,120-100-001,Maquinaria y equipo,account_sat.account_sat_068,other,True
account_sat.account_sat_070,22,121-000-000,Equipo de transporte,account_sat.account_sat_063,view,True
account_sat.account_sat_071,22.1,121-100-001,Equipo de transporte,account_sat.account_sat_070,other,True
account_sat.account_sat_072,23,122-000-000,Mobiliario y equipo de oficina,account_sat.account_sat_063,view,True
account_sat.account_sat_073,23.1,122-100-001,Mobiliario y equipo de oficina,account_sat.account_sat_072,other,True
account_sat.account_sat_074,24,123-000-000,Equipo de cómputo,account_sat.account_sat_063,view,True
account_sat.account_sat_075,24.1,123-100-001,Equipo de cómputo,account_sat.account_sat_074,other,True
account_sat.account_sat_076,25,124-000-000,Depreciación acumulada,account_sat.account_sat_063,view,True
account_sat.account_sat_077,25.1,124-100-001,Depreciación acumulada de edificios,account_sat.account_sat_076,other,True
account_sat.account_sat_078,25.2,124-100-002,Depreciación acumulada de maquinaria y equipo,account_sat.account_sat_076,other,True
account_sat.account_sat_079,25.3,124-100-003,Depreciación acumulada de equipo de transporte,account_sat.account_sat_076,other,True
account_sat.account_sat_080,25.4,124-100-004,Depreciación acumulada de mobiliario y equipo,account_sat.account_sat_076,other,True
account_sat.account_sat_081,25.5,124-100-005,Depreciación acumulada de equipo de cómputo,account_sat.account_sat_076,other,True
account_sat.account_sat_082,25.6,124-100-006,Depreciación acumulada de otros activos,account_sat.account_sat_076,other,True
account_sat.account_sat_083,26,125-000-000,Adaptaciones y mejoras,account_sat.account_sat_063,view,True
account_sat.account_sat_084,26.1,125-100-001,Adaptaciones y mejoras,account_sat.account_sat_083,other,True
account_sat.account_sat_085,27,126-000-000,Gastos Pre Operativos,account_sat.account_sat_063,view,True
account_sat.account_sat_086,27.1,126-100-001,Gastos Pre Operativos,account_sat.account_sat_085,other,True
account_sat.account_sat_087,28,127-000-000,Gastos de instalación,account_sat.account_sat_063,view,True
account_sat.account_sat_088,28.1,127-100-001,Gastos de instalación,account_sat.account_sat_087,other,True
account_sat.account_sat_089,29,128-000-000,Gastos de organización,account_sat.account_sat_063,view,True
account_sat.account_sat_090,29.1,128-100-001,Gastos de organización,account_sat.account_sat_089,other,True
account_sat.account_sat_091,30,129-000-000,Investigación y Desarrollo de Mercado,account_sat.account_sat_063,view,True
account_sat.account_sat_092,30.1,129-100-001,Investigación y Desarrollo de Mercado,account_sat.account_sat_091,other,True
account_sat.account_sat_093,31,130-000-000,Marcas y Patentes,account_sat.account_sat_063,view,True
