id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_300,206.01,206-100-001,Anticipo de cliente nacional,acc_sat.account_sat_v2_299,other,A,True
acc_sat.account_sat_v2_301,206.02,206-100-002,Anticipo de cliente extranjero,acc_sat.account_sat_v2_299,other,A,True
acc_sat.account_sat_v2_302,206.03,206-100-003,Anticipo de cliente nacional parte relacionada,acc_sat.account_sat_v2_299,other,A,True
acc_sat.account_sat_v2_303,206.04,206-100-004,Anticipo de cliente extranjero parte relacionada,acc_sat.account_sat_v2_299,other,A,True
acc_sat.account_sat_v2_304,206.05,206-100-005,Otros anticipos de clientes,acc_sat.account_sat_v2_299,other,A,True
acc_sat.account_sat_v2_305,207,207-000-000,Impuestos trasladados,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_306,207.01,207-100-001,IVA trasladado ,acc_sat.account_sat_v2_305,other,A,True
acc_sat.account_sat_v2_307,207.02,207-100-002,IEPS trasladado,acc_sat.account_sat_v2_305,other,A,True
acc_sat.account_sat_v2_308,208,208-000-000,Impuestos trasladados cobrados,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_309,208.01,208-100-001,IVA trasladado cobrado,acc_sat.account_sat_v2_308,other,A,True
acc_sat.account_sat_v2_310,208.02,208-100-002,IEPS trasladado cobrado,acc_sat.account_sat_v2_308,other,A,True
acc_sat.account_sat_v2_311,209,209-000-000,Impuestos trasladados no cobrados,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_312,209.01,209-100-001,IVA trasladado no cobrado,acc_sat.account_sat_v2_311,other,A,True
acc_sat.account_sat_v2_313,209.02,209-100-002,IEPS trasladado no cobrado,acc_sat.account_sat_v2_311,other,A,True
acc_sat.account_sat_v2_314,210,210-000-000,Provision de sueldos y salarios por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_315,210.01,210-100-001,Provision de sueldos y salarios por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_316,210.02,210-100-002,Provision de vacaciones por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_317,210.03,210-100-003,Provision de aguinaldo por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_318,210.04,210-100-004,Provision de fondo de ahorro por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_319,210.05,210-100-005,Provision de asimilados a salarios por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_320,210.06,210-100-006,Provision de anticipos o remanentes por distribuir,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_321,210.07,210-100-007,Provision de otros sueldos y salarios por pagar,acc_sat.account_sat_v2_314,other,A,True
acc_sat.account_sat_v2_322,211,211-000-000,Provision de contribuciones de seguridad social por pagar,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_323,211.01,211-100-001,Provision de IMSS patronal por pagar,acc_sat.account_sat_v2_322,other,A,True
